Candidate,Education,PC_CODE
Asif Nizamuddin Siddique,10th Pass,39
Asim Kumar Das,Post Graduate,11
Asim Kumar Dasgupta,Doctorate,16
Asit Mitra,Graduate,26
Aslam Hanif Khot,8th Pass,30
Aslam Mistry,8th Pass,25
Aslam Shekh Advocate,Post Graduate,23
Asmita Pushkar Puranik,12th Pass,24
Asok Das,Post Graduate,8
Asok Kumar Samanta,Post Graduate,22
Asoke Bera,Graduate,34
Asra Anjum Farooqui,Graduate,15
Asraf,Illiterate,5
Asraf Ali.M,5th Pass,24
Asrita Tuti,Post Graduate,11
Astbhuja Prasad Tripathi,Graduate,64
Aswini Kumar Padhy,Graduate Professional,20
Atam Parkash,Post Graduate,4
Ateeque Ahmad Mohd. Badiujjama,10th Pass,10
Athawaley Sanjay Hiramanji,Graduate,7
Atiq Ahmad,10th Pass,58
Atmaram Sahu,Post Graduate,7
Attuveppil Kunhikkannan,5th Pass,3
Atul Ashok Munginwar,12th Pass,13
Atul Chandra Bouri,10th Pass,40
Atul Chaturvedi,Post Graduate,20
Atul Khodawal,Illiterate,10
Atul Kumar,Graduate,23
Atul Kumar Singh,Graduate Professional,47
Atul Kumar Singh Anjan,Graduate Professional,70
Atul Kumar Thakur,Doctorate,1
Atul Mishra,Graduate Professional,5
Atul Prasannakumar Dighe,Post Graduate,47
Auditor Gopinarayanan,Others,4
Autade Vilas Keshavrao,12th Pass,18
Avadhesh,12th Pass,68
Avhad Mahesh Zunjar,10th Pass,21
Avinash Devineni,Post Graduate,29
Avinash Kumar,Post Graduate,31
Avinash Kumar Mishra,Post Graduate,47
Avinash Namdev Wankhede,Graduate Professional,39
Avinash Reddy Yeduguri Sandinti,Post Graduate,38
Avnish Tiwari,Graduate Professional,8
Avss Amarnadh Gudivada,Graduate Professional,22
Avtar Singh,Graduate,4
Avtar Singh,5th Pass,8
Avtar Singh Bhadana,8th Pass,10
Avula Ranganayakulu,Graduate,8
Awade Kallappa Baburao,10th Pass,48
Awadh Kishor Nigam,Graduate,66
Awadh Kumar,Graduate,29
Awadhesh Verma,Post Graduate,72
Awanish Kumar Singh,12th Pass,3
Awdhesh Kumar Shingh,Graduate,7
Ayala Somayajula Bhavani Sankar Sastry,Post Graduate,21
Ayare Rajendra Lahu,Post Graduate,46
Ayaz Ahmad Sofi,8th Pass,1
Ayendr Kumar Sharma,Graduate,8
Ayesha Islam,Graduate,25
Ayesha Khatun,Graduate,42
"Ayodhi, L.( Dr).",Doctorate,5
Ayodhya Rami Reddy Alla,Post Graduate,31
Ayub Khan,8th Pass,14
Ayyadurai. S,Post Graduate,36
Ayyappan .S,Not Given,35
Azad Husain,12th Pass,8
Azam Vakil Maniyar,5th Pass,34
Azhagu Meena .A,Post Graduate,35
Azimuddin Khan,Graduate,29
Aziz Abdul Kadir Mukadam,5th Pass,32
Azmal Hussain,12th Pass,4
Azmal Khan,Graduate Professional,39
B N Gopalagowda,Graduate Professional,27
B Padmanabhan,Graduate,8
B Rajagopal,Doctorate,42
B Sreeramulu,Graduate,9
B Subramanyam,Graduate,8
B. Ambeth Venkatesh,Illiterate,4
B. Dharmappa,Graduate Professional,14
B. Gnana Prakash,Graduate,13
B. Gopalakrishnan,Graduate Professional,11
B. Kumar Sri Sri,Not Given,3
B. R. Govindaiah,12th Pass,26
B.B.Patil,Graduate,5
B.K. Narayana-Swamy,10th Pass,25
B.K. Shashi Kumar,10th Pass,14
B.M.Jayadev Mathad,Graduate,10
B.Manohar Hanumantappa,10th Pass,8
B.N. Bachhegouda,Graduate Professional,27
B.N.Chandrappa,Post Graduate,18
B.S. Thaneswariya,Post Graduate,2
B.S. Yeddyurappa,12th Pass,14
B.T.Lalitha Naik,8th Pass,5
B.V.Nayak,Graduate Professional,6
B.V.Venkatagiriyappa,Graduate,28
B.V.Venkateshappa,10th Pass,25
B.Veera Hanumantha Reddy,Post Graduate,7
B.Venkata Mallaiah,10th Pass,2
B.Venkatesha,Graduate Professional,19
B.Vikraman,10th Pass,32
B.Y.Ramaiah,Post Graduate,34
Baadshah,8th Pass,15
Baalu.T.R,Graduate,30
Baba Abdul Hamid,Not Given,28
Baba Hardev Singh,Doctorate,21
Baban (Anna) Muley,12th Pass,17
Babasaheb Patil Shinde,10th Pass,18
Bablu Soren,12th Pass,5
Babu Lal,8th Pass,18
Babu Lal,8th Pass,17
Babu Lal,Graduate,37
Babu Lal Soren,Literate,2
Babu Mailan .A,Graduate Professional,2
Babu Mathew,Post Graduate,24
Babu Meghwal,Literate,21
Babu Singh Dukhiya,Graduate,6
Babubhai Chhaganbhai Talaviya,Graduate,26
Babul Supriya Boral (Babul Supriyo),Graduate,40
Babulal,Literate,53
Babulal,12th Pass,19
Babulal Jangid,10th Pass,12
Babulal Marandi,Graduate,2
Babupasha,Not Given,7
Baburao Damaduji Meshram,12th Pass,10
Babusingh,8th Pass,24
Bachala Laxmaiah,Illiterate,17
Bachchan Prasad Yadav,Graduate Professional,77
Bachchelal,10th Pass,77
Bachchoolaal,Post Graduate,65
Badal Singh,8th Pass,9
Badampudi Siva,Graduate,26
Badaruddoza Khan,Graduate,11
Badhivala Labhubhai Jivrajbhai,Post Graduate,17
Badre Alam,Graduate Professional,60
Badri Gope,5th Pass,14
Badri Mondal,8th Pass,23
Badri Nath Yadav,10th Pass,70
Badruddin Ajmal,Others,4
Badrul Sekh,5th Pass,10
Badsha Alam,12th Pass,30
Badshah Khan,8th Pass,19
Bagatsingh Palanichamy M,8th Pass,22
Baghrai Soren,Graduate Professional,2
Bagi Kumar Verma,Graduate,37
Bagi Lakra,Graduate Professional,2
Bagul Vedu Tanaji,Literate,3
Bagwan B,Not Given,4
Bahaddur Srinivasulu,Post Graduate,12
Bahadur Ragib Ahamed,Post Graduate,3
Bahadur Ram,8th Pass,1
Bahadur Ram Dhauni,Graduate Professional,3
Bahadur Singh,5th Pass,8
Bahadur Singh,Literate,9
Bahadur Singh Chowdhary,Graduate,6
Bahadur Uraon,10th Pass,8
Baidhar Mallick,Graduate,16
Baidhnath Prasad Mahto,10th Pass,1
Baidyanath Hansda,12th Pass,35
Baijnath Paswan,Graduate,24
Baijnath Yadav,5th Pass,32
Baikuntha Dhangada Majhi,10th Pass,11
Baishakhoo Maravi,5th Pass,14
Bajarang Lal,10th Pass,12
Bajarang Sidar,12th Pass,2
Bajare Sitaram Namdeo (Baba),Graduate,36
Bajrang Prasad,Graduate,44
Bakkani Narsimlu,10th Pass,12
Bal Krishan Sharma,10th Pass,2
Bal Krishna,12th Pass,39
Bal Kumar Patel Alias Rajkumar,12th Pass,48
Bal Mukund Chauhan,Graduate Professional,20
Bal Mukund Dhuriya,12th Pass,55
Bala Dagadu Nandgaonkar,10th Pass,31
Bala Krishnan.K,12th Pass,24
Bala Subramanian T.,Post Graduate,39
Balabhadra Majhi,Graduate,12
Balaji Dnyanoba Kamble,Post Graduate,41
Balaji. E,Post Graduate,2
Balakrishnan .S.S.,Not Given,35
Balakrishnan P,5th Pass,31
"Balamurugan, R",Others,6
Balamurugan.B,Post Graduate,1
"Balan, P.P.",Post Graduate,19
Balaraju Mittapally,5th Pass,6
Balaram Hota,Others,11
Balasaheb Asaram Sarate,Post Graduate,19
Balasaheb Dashrath Bagul,Literate,38
Balasaheb Shankar Darade,Post Graduate,5
Balasaheb Vitthal Aware,10th Pass,19
Balashowry Vallabhaneni,Graduate,30
Balasubramani.R,12th Pass,22
Balbhadra Mishra,8th Pass,19
Balbheem,Graduate,7
Balbir Singh,5th Pass,2
Balbir Singh Jadla,10th Pass,6
Balbir Singh Saini,Graduate,2
Baldar,8th Pass,25
Baldau Prasad Sahu,8th Pass,7
Baldau Prasad Sahu,Graduate,5
Baldeep Singh,Graduate,3
Baldeo Ganjhu,10th Pass,14
Baldeo Maravi,10th Pass,1
Baldev Raj,10th Pass,1
Balendra Singh,12th Pass,16
Baleshwar Bharti,10th Pass,34
Baleshwar Marandi,Graduate,11
Baleshwar Paswan,Graduate,23
Balihari,12th Pass,68
Baliram Sukhdev More,Others,43
Baliram Sukur Jadhav,8th Pass,22
Baljeet,Graduate,4
Baljinder Singh,Graduate,10
Baljit Kaur,5th Pass,6
Balka Suman,Post Graduate,2
Balkrishna Salgaonkar,Illiterate,2
Balli Singh Cheema,Graduate,4
Balraj Bawari,10th Pass,1
Balram Bari,8th Pass,1
Balram Kumar Bedia,12th Pass,8
Balu S,8th Pass,31
Balunayak Bhukya,Graduate Professional,16
Balusingh Somansingh Narve,Post Graduate,5
Balwan Singh,12th Pass,4
Balwant Kumar,Graduate,4
Balwant Singh,10th Pass,3
Balwant Singh Hariyala,10th Pass,1
Balwant Singh Kushwah Advocate,Graduate Professional,3
Balwant Singh Sultanpuri,8th Pass,3
Balwinder Kaur,10th Pass,2
Balwinder Singh,Post Graduate,3
Bamaniya Jyotishkumar Bapubhai,8th Pass,19
Banamali Majhi,Post Graduate,21
Bandana Barman Baruah,Graduate,7
Bandaru Dattatreya,Graduate,8
Bandaru Srinivasulu,Not Given,36
Bandela Nageswara Rao,10th Pass,32
Bandeppa,Graduate Professional,7
Bandgar Nanaso Balaso,8th Pass,44
Bandhu Tirkey,Graduate,8
Bandi Sudhakar,12th Pass,7
Bangshi Badan Barman,Graduate,1
Banja Veerappa,10th Pass,4
Banjare Babulal Sundarlal,10th Pass,10
Banka Sahadev,Graduate,1
Bannur Kumar,Graduate,21
Bano Bee,Illiterate,23
Banoth Laxma Naik,12th Pass,17
Banoth Mohanlal,Post Graduate,16
Bansa Gopal Choudhury,Graduate,40
Banshilal Patidar,5th Pass,23
Bansi Lal,8th Pass,5
Bansi Ram,Literate,3
Bansode Chayya Tukaram,8th Pass,34
Bansode Dattatray Gunderao,Post Graduate,41
Bansode Dilip Bapu,10th Pass,28
Bansode Kundan Fulchand,5th Pass,43
Bansode Udhav Govardhan,Graduate,19
Banswal Mannalal Premchand,Not Given,19
Bante Jitendra Ramaji,12th Pass,11
Banwari Saw,Literate,4
Bappi Aparesh Lahiri,8th Pass,27
Bar Ajamalbhai Karmanbhai,10th Pass,9
Barkha Kinnar,Literate,66
Barnard Hembrom,12th Pass,1
Barne Shrirang Chandu,8th Pass,33
Barne Shrirang Chimaji,Literate,33
Barun Karmakar,12th Pass,6
Barun Kumar Jha,Graduate Professional,7
Basant Kumar Longa,Graduate,11
Basant Panwar,8th Pass,5
Basanta Kumar Pradhan,12th Pass,13
Basappa Kallappa Hanchanal,12th Pass,1
Basavanteppa Honnappa Hullatti,Graduate Professional,10
Basavaraj,10th Pass,8
Basavaraj K.J,Graduate,13
Basavegowda,Graduate,23
Baseer Kinnar,Illiterate,77
Bashir Ahmad Gojer Jagal,5th Pass,1
Bashir Khan Ramzan Khan,Graduate,10
Bashir Mohammad Reshi,12th Pass,2
Basil Ekka,10th Pass,2
Basirbhai Sulemanbhai Sama,5th Pass,10
Baskaran M R,8th Pass,11
Basu Mog,10th Pass,2
Basudeb Acharia,Post Graduate,36
Basudeb Naik,10th Pass,4
Bathwar Nanjibhai Amarshibhai,Literate,12
Battu Balajee Rao,10th Pass,33
Bechai,Graduate,68
Bechu Mondal,Graduate Professional,21
Beeda Srinivas N,Literate,28
Begum Noor Bano Urf Mehtab,10th Pass,6
Belamkar Milind Chandrakant,10th Pass,24
Bellamkonda Venkata Rao,5th Pass,33
Bellarmin A.V.,Post Graduate,39
Bendula Thirumala Naidu,Post Graduate,35
Benedict Alok Areng,10th Pass,7
Benet Babu Benjamin,10th Pass,20
Beni Prasad Verma,Graduate Professional,59
Benjamin Raju,Graduate Professional,5
Bennet Abraham,Post Graduate,20
Betalal Diwakar,Graduate Professional,43
Bhabhor Jasvantsinh Sumanbhai,Graduate Professional,19
Bhabhor Mavajibhai Titubhai,Literate,19
Bhadiya,Illiterate,24
Bhadreswar Barman,12th Pass,6
Bhag Chand Rana,10th Pass,2
Bhagat Ram Soni,12th Pass,6
Bhagat Singh Koshyari,Post Graduate,4
Bhagawati Charan Pandey(Neelu),Graduate,11
Bhagawati Prasad Trikoti,12th Pass,3
Bhagirath Prasad,Doctorate,2
Bhagirath Singh,Post Graduate,5
Bhagvantappa,Illiterate,6
Bhagwan Das,10th Pass,6
Bhagwan Das,Graduate,79
Bhagwan Dass Rathor,Graduate Professional,5
Bhagwan Deen,5th Pass,37
Bhagwan Kambale,5th Pass,4
Bhagwan Singh Chauhan,Graduate,5
Bhagwan Swaroop,Graduate,4
Bhagwandas,8th Pass,61
Bhagwant Mann,12th Pass,12
Bhagwant Singh,12th Pass,12
Bhagwant Singh,10th Pass,2
Bhagwant Singh Samaon,8th Pass,11
Bhagwanth,Graduate Professional,7
Bhagwat Harihar Taware,Graduate,39
Bhagwati Prasad Chaudhary,Graduate Professional,80
Bhaichung Bhutia,10th Pass,4
Bhailalbhai Chhanabhai Rathod,5th Pass,23
Bhairaw Dayal Singh,Post Graduate,35
Bhairon Prasad Mishra,12th Pass,48
Bhaiyalal Uikey,Literate,28
Bhakta Charan Das,Graduate Professional,11
Bhal Chandra Yadav,Graduate,62
Bhamare Subhash Ramrao,Graduate Professional,2
Bhambale Vijay Manikrao,10th Pass,17
Bhambhi Chandubhai Mulchandbhai,12th Pass,5
Bhan Singh,10th Pass,4
Bhande Dashrath Motiram,Post Graduate,4
Bhanji Bhai,8th Pass,20
Bhanu Pratap Singh,Post Graduate,45
Bhanudas Dhotare,12th Pass,25
Bhanudas Ramdas Sarode,Not Given,19
Bhanuprakash.K.L,Post Graduate,20
Bhanwar Lal,10th Pass,21
Bhanwar Lal,10th Pass,2
Bhanwar Lal Mali,8th Pass,22
Bhanwar Lal Soni,8th Pass,13
Bhanwar Lal Waghela,12th Pass,18
Bhanwar Singh Rathore,Graduate,14
Bhanwarlal,10th Pass,22
Bhanwarlal Meghwal,Post Graduate,1
Bhapkar Maruti Sahebrao,12th Pass,33
Bhar Singh,5th Pass,12
Bharadhawaja,Others,8
Bharat,12th Pass,75
Bharat Bhusan Pandey,12th Pass,7
Bharat Bhushan Pandey,Doctorate,32
Bharat Bhushan Sahni,12th Pass,5
Bharat Damodar Londhe,Graduate,41
Bharat Maroti Kadam,10th Pass,41
Bharat Sen Advocate,Graduate Professional,5
Bharat Singh,Graduate,72
Bharat Tripathi,Post Graduate,30
Bharathi Kannamma,Graduate,32
Bharathi Mohan R.K,12th Pass,28
"Bharathi, K. Thiru",Post Graduate,5
Bharathidasan R. Thiru.,Post Graduate,5
Bharti Devi Pasi,Graduate Professional,44
Bhartruhari Mahatab,Post Graduate,14
Bhaskar Chandra Mohanty,Graduate Professional,17
Bhaskar Dwivedi,Post Graduate,6
Bhaskar Kaki,Graduate,17
Bhaskar Marotrao Neware,Post Graduate,8
Bhaskaran K V,Graduate,12
Bhausaheb Rajaram Wakchaure,Doctorate,38
Bhavani Janakiram,Post Graduate,3
Bhavesh Ghanshyambhai Rajyaguru,10th Pass,15
Bhavesh Patel,Others,1
Bhavna Bhavesh Wasnik,Post Graduate,7
Bheemappa Dhoolappa Ajjodi,Post Graduate,3
Bheru Singh Damor,10th Pass,24
Bherulal Imliyar,12th Pass,25
Bhikha Paswan,Graduate,13
Bhimaraya,10th Pass,6
Bhimrao Anna Kadale,10th Pass,33
Bhise Krishna Nagnath,10th Pass,42
Bhism Shankar Alias Kushal Tiwari,12th Pass,62
Bhojraj,Others,15
Bhola Sao,Literate,29
Bhola Singh,Doctorate,24
Bholanath,12th Pass,72
Bholanath Alias B.P.Saroj,Graduate,74
Bhole Pushpa Milind,Graduate Professional,27
Bhoraniya Soyabbhai Hasambhai,8th Pass,3
Bhosale Revan Vishwanath,Post Graduate,40
Bhovi Rama C.B.K,8th Pass,25
Bhriguram Reang,12th Pass,2
Bhudar Mal,Post Graduate,4
Bhujbal Chhagan Chandrakant,10th Pass,21
Bhuneshwar Prasad Mehta,12th Pass,14
Bhuneswar Das,Literate,38
Bhup Singh,Graduate Professional,5
Bhupal Singh Gusain(Ukd),Graduate,2
Bhupen Kumar Borah,Post Graduate,9
Bhupendra Kumar Dhangar,12th Pass,17
Bhupendra Singh Uikey,Post Graduate,29
Bhupesh Kumar,Graduate Professional,11
Bhupeshwar Dayal,Graduate Professional,6
Bhupinder Kumar,10th Pass,1
Bhupinder Mehra,Graduate,1
Bhupinder Singh,12th Pass,3
Bhura Navalabhai Manabhai,12th Pass,19
Bhura Ram,Not Given,1
Bhura Shabbirbhai Valibhai,10th Pass,22
Bhuwan Chandra Joshi,Graduate Professional,4
Bibekananda Ray,12th Pass,30
Bibhaker Jha,Graduate,11
Bibhu Prasad Tarai,Post Graduate,16
Bibi Kamaldeep Kaur Rajoana,Graduate,13
Bichitra Nanda Das,Post Graduate,6
Bichukale Abhijit Vamanrao,Graduate,45
Bidaragaddi V.B,Graduate,10
Biddika Ramayya,Literate,18
Bideshi Mahto,Graduate,6
Bidhan Chandra Panda,10th Pass,20
Bidya Nand Paswan,12th Pass,9
Bighna Raj Panda,12th Pass,11
Bighnesh Bhagat,Graduate,7
Bijan Majumder,10th Pass,21
Bijay Mohanty,Others,18
Bijaya Kumar Mahapatro,10th Pass,19
Bijender,10th Pass,12
Bijender Kumar,10th Pass,6
Bijendra Chaudhary,Graduate,15
Bijendra Singh,Graduate,15
Bijoy Chandra Barman,Post Graduate,3
Bijoy Kr. Tiru,Graduate,11
Bijoy Krishna Dolui,Doctorate,41
Bijoy Krishna Handique,Post Graduate,12
Bijoy Krishna Nath,Graduate,2
Biju Chacko,Graduate Professional,2
Biju Joseph,10th Pass,13
Bikash Banerjee,Graduate,35
Bikash Das,Doctorate,14
Bikash Hazra,8th Pass,17
Bikash Mudi,10th Pass,33
Bilasini Nayak,10th Pass,13
Bilkan Bara,Graduate Professional,2
Bimal Mardi,Graduate,8
Bimalendu Sarkar,Post Graduate,6
Bimla Devi Meena,Graduate,11
Bina Rani,Graduate,50
Binapani Das,12th Pass,14
Binay Debbarma,Graduate Professional,1
Bindeshwari Sahani,10th Pass,22
Bindu,Literate,76
Bindu M.K.,8th Pass,7
Binghi Rajashekar,10th Pass,9
Binod Gogoi,Graduate,11
Binod Kumar Das,12th Pass,40
Binod Kumar Sahu,Graduate,8
Binod Singh,10th Pass,7
Binoy Chowdhury,8th Pass,36
Bipin Kumar Jha,Graduate,7
Bir Singh Soni,12th Pass,1
Biren Singh Engti,Post Graduate,3
Birendra Bara (Oraon),Graduate,2
Birendra Bhagat,10th Pass,12
Birendra Kumar Chaudhary,Post Graduate,7
Birendra Kumar Jaiswal,10th Pass,8
Birendra Prasad Baishya,Post Graduate,7
Birendra Singh,12th Pass,9
Birje Hemant Anant,Graduate,29
Birje Yashwant Anant,Post Graduate,46
Bishambhar Prasad Nishad,Post Graduate,47
Bishan Dass,10th Pass,5
Bishat Kurre,8th Pass,8
Bisheshwar Mahto,10th Pass,8
Bishnu Pada Barman,Graduate,7
Bishnu Pada Ray,Graduate,1
Bishnu Prasad Das,Graduate,15
Bishnupriya Naik,10th Pass,4
"Bismaya Mahapatra,",Post Graduate,18
Bismillakhan Abdulkhan Pathan,8th Pass,10
Bisnu Pada Roy,Post Graduate,8
Biswajit Ranjit Chatterjee,12th Pass,4
Biswajit Ray,Graduate,6
Biswapriya Roy Choudhury,Graduate Professional,6
Bitiya Manjhi,10th Pass,2
Bitra Venkata Sivannarayana,10th Pass,30
Bittu,Literate,7
Bochare Shankar Mahadji,10th Pass,16
Boda Raasi,12th Pass,16
Boddepalli Raja Rao,10th Pass,19
Boddu Sainath Reddy,10th Pass,9
Boddu Venkata Ramana Chowdary,Post Graduate,25
Bodhsingh Bhagat,Graduate,15
Boilla Narender,10th Pass,14
Bojanna N Somaiah,Graduate Professional,21
Bolisetti Satyanarayana,Graduate,21
Bolisetty Hari Babu,Illiterate,29
Bomma Balesham,12th Pass,6
Bonu Krishna,12th Pass,20
Boorjabariki Dhanaraju,Graduate,18
Borkar Ravindra,10th Pass,10
Boya Anil Kumar,8th Pass,36
Braham Dev Jha,Post Graduate,1
Brahmadav Anand Paswan,12th Pass,40
Brahmadeo Prasad Karyee,Doctorate,14
Brahmanand Pratap Singh,Graduate,11
Brahmananda Reddy,Graduate Professional,19
Brahmbhatt Sanjaybhai Amarbhai,12th Pass,6
Brahmdev Mukhiya,Literate,25
Brajendra Gappu Chaturvedi,Post Graduate,19
Brajesh Pathak,Graduate Professional,33
Brajlal,Post Graduate,9
Brajmohan Malviya,Graduate Professional,22
Brigadier Gobind Prasad Barthwal(Vsm),Graduate,5
Brij Bhusan Sharan Singh,Graduate Professional,57
Brij Kishor Singh,Graduate,61
Brijbhushan,Post Graduate,75
Brijesh Kumar,Post Graduate,55
Brijesh Kumar,Graduate,52
Brijesh Kumar,Graduate,38
Brijesh Kumar Rai,Graduate Professional,79
Brijlal,8th Pass,34
Brijlal Khabhri,Post Graduate,45
Brijnandan Tiwari,12th Pass,59
Brinda Pathak,Graduate Professional,19
Brindawan Singh Sikarwar,12th Pass,1
Brmhadatta Mishra Urf Chote,12th Pass,10
Bubadia Mahendrabhai Kesharbhai,Graduate,2
Budan Baig Shaik,Graduate,17
Buday Munda,12th Pass,11
Budayya Pujeri,Graduate,25
Budda Chandra Sekhar,Post Graduate,21
Buddhadeb Mandi,10th Pass,33
Buddula Srinivasulu,10th Pass,12
Budhabhai Ranchhodbhai Patel,10th Pass,26
Budhdhpriya Jasvant Somabhai,Literate,7
Budhram Laguri,12th Pass,10
Budhsen Verma,8th Pass,26
Bujji Reddy Venugopal Reddy,Post Graduate,36
Bunga Bhaskararao,12th Pass,24
Bupelli Narayana,Doctorate,2
Burla Ravi,10th Pass,3
Buro Murmu,10th Pass,40
Busireddy Shankar Reddy,12th Pass,17
Buta Singh,Literate,2
Butani Rajeshbhai Maganbhai,10th Pass,11
Butta Renuka,10th Pass,35
Byagari Laxman,Post Graduate,3
Byas Manjhi,Graduate Professional,19
C B Chandrababu,Graduate Professional,15
C G Saji Kumar,12th Pass,1
C J Jagannath,5th Pass,15
C L Maurya,12th Pass,37
C Mohan Kumar,10th Pass,21
C N Jayadevan,Post Graduate,10
C R Choudhary,Post Graduate,14
C S Udaya,Post Graduate,42
C. L. Ruala,Graduate,1
C.Anand Kumar,Post Graduate,37
C.D. Meyyappan,Post Graduate,4
C.H. Vijayashankar,Graduate,16
C.K. Ramakrishnan,Not Given,8
C.L. Karodiya,Graduate,3
C.Narayana Swamy,Post Graduate,24
C.S.Puttaraju,12th Pass,20
C.S.Valvi,Graduate,1
C.V.Sarada Devi,Graduate,27
Captain Amarinder Singh,Graduate,2
Captain Phool Chandra Sharma,Graduate,24
Captan Babulal Goswami,Graduate,3
Cchemikala Tirupati,Illiterate,39
Ch. Murahari,Post Graduate,8
Ch.Malla Reddy,12th Pass,7
Chaganti Suryanarayana Murty,10th Pass,23
Chaitanya Barai,10th Pass,13
Chaitram Suryavanshi,Post Graduate,3
Chalawadi Ashok Sahadevappa,Graduate,12
Chaman Lal Kasaundhan,5th Pass,57
Champa Lal Patel,Graduate,9
Chamra Linda,Graduate,12
Chan Pasha,Illiterate,10
Chanan Singh Wattu,Graduate,10
Chanbasha.M,5th Pass,9
Chanchal,12th Pass,76
Chanda Manwatkar,12th Pass,10
Chandan Brahma,Graduate,5
Chandan Kumar Alias Chandan Gupta,Post Graduate,20
Chandan Lal Meena,Graduate,12
Chandan Mallick,Graduate Professional,14
Chandan Singh,Graduate Professional,17
Chandana Majhi,Graduate,38
Chander Kumar,Post Graduate,1
Chandoo Lal Sahu S/O Avadh Ram Sahu,8th Pass,9
Chandra Bhusan Kanwar,Graduate Professional,4
Chandra Bhushan,Graduate Professional,9
Chandra Bhushan Prasad Chandravnsi,Literate,30
Chandra Deep Ram,Post Graduate,17
Chandra Dev Prasad,Post Graduate,31
Chandra Pal,Doctorate,18
Chandra Pal,8th Pass,31
Chandra Prakash,Graduate,21
Chandra Prakash,Post Graduate,52
Chandra Prakash Gocher,12th Pass,23
Chandra Prakash Mandle,Graduate Professional,7
Chandra Pratap Singh,Post Graduate,71
Chandra Sekhar Sahu,Graduate Professional,20
Chandra Sekhar Yadav Muchakala,Post Graduate,39
Chandra Shekhar Yadav,Graduate,13
Chandra Singh,8th Pass,25
Chandrababu,10th Pass,15
Chandrabhan Singh,Graduate,49
Chandrabhan Singh Choudhary,Graduate Professional,16
Chandrabhushan Sharma,Doctorate,36
Chandradev Thakur,8th Pass,4
Chandradhwaja Majhi,Graduate,12
"Chandragasan, N",8th Pass,27
Chandrakant,Post Graduate,7
Chandrakant Bhaurao Khaire,12th Pass,19
Chandrakant Tatu Khandait,Graduate,45
Chandramohan Jha,Doctorate,7
Chandramohan P,10th Pass,22
"Chandran, D.",Graduate,20
Chandrapal Singh Tomar,Post Graduate,4
Chandrapal Singh Yadav,Doctorate,46
Chandrasekaran.M,Others,1
Chandrashekaraiah,Post Graduate,21
Chandrashekhar,Illiterate,78
Chandravijaysinh Takhubha Rana,12th Pass,12
Chandrda Shekhar Dubey,10th Pass,7
Chandresh Kumari,12th Pass,16
Chandresh Singh,10th Pass,18
Chandrika,Post Graduate,67
Chandrika Prasad,12th Pass,5
Chandu Lal Meena,10th Pass,11
Chandu Lal Sahu (Chandu Bhaiya) S/O Late Puneen Ram,Graduate Professional,9
Chandu Lal Sahu S/O Balchand Sahu,10th Pass,9
Chandu Lal Sahu S/O Biju Ram Sahu,5th Pass,9
Chandu Lal Sahu S/O Late Nathu Ram,5th Pass,9
Chandu Lal Sahu S/O Parmanand Sahu,Literate,9
Chandu Lal Sahu S/O Same Lal Sahu,8th Pass,9
Chandu Lal Sahu S/O Soju Lal Sahu,8th Pass,9
Chandu Ram Sahu S/O Nakul Sahu,5th Pass,9
Chandu Ram Sahu S/O Pilau Ram Sahu,8th Pass,9
Chandubhai Machalabhai Chaudhari,Graduate,23
Chanduram Sahu S/O Ram Karosa Sahu,Literate,9
Chapala Venkata Rao,10th Pass,33
Charan Bhaya,Not Given,4
Charan Das Mahant,Doctorate,4
Charan Jeet Singh,Post Graduate,6
Charanjeet Singh,10th Pass,3
Charavanan. M.P.,Graduate,2
Chatap Wamanrao Sadashiv,Graduate Professional,13
Chater Singh Kashyap,10th Pass,3
Chatragadda Pratap,12th Pass,29
Chattar Singh,Graduate Professional,2
Chaturbhuj Snehi,12th Pass,6
Chaudhari Kalu Vinayak,8th Pass,35
Chaudhari Lal,8th Pass,30
Chaudhari Mujjafar Jainuddin Alias Modi,5th Pass,32
Chaudhary Daya Chand,Graduate,10
Chaudhary Dineshbhai Salubhai,Literate,4
Chaudhry Haribhai Parthibhai,Graduate,2
Chauhan Devusinh Jesingbhai,12th Pass,17
Chauhan Kesavbhai Malabhai,12th Pass,25
Chauhan Prabhatsinh Pratapsinh,10th Pass,18
Chavada Ashokbhai Nathabhai,8th Pass,12
Chavada Harishchandrasinh Prabhatsinh,10th Pass,18
Chavada Surendrasinh Narvatsinh,Graduate,18
Chavan Harishchandra Deoram,Graduate,20
Chavan Vinod Narayan,10th Pass,14
Chavda Manubhai Parsottambhaix,12th Pass,14
Chavda Palabhai Nanjibhai,Illiterate,9
Chavda Vinod Lakhmashi,Graduate Professional,1
Chavhan Mohan Shamrao,Post Graduate,4
Chawan Suryakant Gangaram,8th Pass,29
Chaware Maya Namdeo,Post Graduate,9
Chaya Ratan Musinipally,Post Graduate,8
Chedoo,Literate,50
Cheekatla Venkateswara Rao,Graduate,25
Chellakumar. Dr. A,Graduate Professional,9
Chellakumarasamy.T.S,Post Graduate,16
Chengara Surendran,Graduate,16
Cheni Ram Moran,10th Pass,13
Chennamaneni Vidya Sagar Rao,Graduate Professional,3
Cherupally Seetharamulu,10th Pass,14
Chetan Bhimraj Pendam,Post Graduate,8
